graph,order,size,time,iterations,error,technique,blocks,threads
"min-2SCC","8","12","8.571","40","9.127e-7","pagerankCuda","16384","1024"
"min-2SCC","8","12","8.537","40","9.127e-7","pagerankCuda","32768","32"
"min-2SCC","8","12","8.578","40","9.127e-7","pagerankCuda","32768","64"
"min-2SCC","8","12","8.562","40","9.127e-7","pagerankCuda","32768","128"
"min-2SCC","8","12","8.563","40","9.127e-7","pagerankCuda","32768","256"
"min-2SCC","8","12","8.573","40","9.127e-7","pagerankCuda","32768","512"
"min-2SCC","8","12","8.539","40","9.127e-7","pagerankCuda","32768","1024"
"min-4SCC","21","35","4.109","0","0","pagerankNvgraph","0","0"
"min-4SCC","21","35","9.651","45","6.1188e-7","pagerankCuda","1024","32"
"min-4SCC","21","35","9.63","45","6.1188e-7","pagerankCuda","1024","64"
"min-4SCC","21","35","9.627","45","6.1188e-7","pagerankCuda","1024","128"
"min-4SCC","21","35","9.599","45","6.1188e-7","pagerankCuda","1024","256"
"min-4SCC","21","35","9.633","45","6.1188e-7","pagerankCuda","1024","512"
"min-4SCC","21","35","9.615","45","6.1188e-7","pagerankCuda","1024","1024"
"min-4SCC","21","35","9.635","45","6.1188e-7","pagerankCuda","2048","32"
"min-4SCC","21","35","9.614","45","6.1188e-7","pagerankCuda","2048","64"
"min-4SCC","21","35","9.617","45","6.1188e-7","pagerankCuda","2048","128"
"min-4SCC","21","35","9.633","45","6.1188e-7","pagerankCuda","2048","256"
"min-4SCC","21","35","9.642","45","6.1188e-7","pagerankCuda","2048","512"
"min-4SCC","21","35","9.598","45","6.1188e-7","pagerankCuda","2048","1024"
"min-4SCC","21","35","9.629","45","6.1188e-7","pagerankCuda","4096","32"
"min-4SCC","21","35","9.645","45","6.1188e-7","pagerankCuda","4096","64"
"min-4SCC","21","35","9.625","45","6.1188e-7","pagerankCuda","4096","128"
"min-4SCC","21","35","9.637","45","6.1188e-7","pagerankCuda","4096","256"
"min-4SCC","21","35","9.636","45","6.1188e-7","pagerankCuda","4096","512"
"min-4SCC","21","35","9.636","45","6.1188e-7","pagerankCuda","4096","1024"
"min-4SCC","21","35","9.634","45","6.1188e-7","pagerankCuda","8192","32"
"min-4SCC","21","35","9.628","45","6.1188e-7","pagerankCuda","8192","64"
"min-4SCC","21","35","9.603","45","6.1188e-7","pagerankCuda","8192","128"
"min-4SCC","21","35","9.614","45","6.1188e-7","pagerankCuda","8192","256"
"min-4SCC","21","35","9.619","45","6.1188e-7","pagerankCuda","8192","512"
"min-4SCC","21","35","9.61","45","6.1188e-7","pagerankCuda","8192","1024"
"min-4SCC","21","35","9.631","45","6.1188e-7","pagerankCuda","16384","32"
"min-4SCC","21","35","9.644","45","6.1188e-7","pagerankCuda","16384","64"
"min-4SCC","21","35","9.612","45","6.1188e-7","pagerankCuda","16384","128"
"min-4SCC","21","35","9.615","45","6.1188e-7","pagerankCuda","16384","256"
"min-4SCC","21","35","9.649","45","6.1188e-7","pagerankCuda","16384","512"
"min-4SCC","21","35","9.621","45","6.1188e-7","pagerankCuda","16384","1024"
"min-4SCC","21","35","9.628","45","6.1188e-7","pagerankCuda","32768","32"
"min-4SCC","21","35","9.613","45","6.1188e-7","pagerankCuda","32768","64"
"min-4SCC","21","35","9.612","45","6.1188e-7","pagerankCuda","32768","128"
"min-4SCC","21","35","9.632","45","6.1188e-7","pagerankCuda","32768","256"
"min-4SCC","21","35","9.633","45","6.1188e-7","pagerankCuda","32768","512"
"min-4SCC","21","35","9.634","45","6.1188e-7","pagerankCuda","32768","1024"
"min-NvgraphEx","6","10","2.288","0","0","pagerankNvgraph","0","0"
"min-NvgraphEx","6","10","5.199","24","2.9802e-8","pagerankCuda","1024","32"
"min-NvgraphEx","6","10","5.156","24","2.9802e-8","pagerankCuda","1024","64"
"min-NvgraphEx","6","10","5.156","24","2.9802e-8","pagerankCuda","1024","128"
"min-NvgraphEx","6","10","5.163","24","2.9802e-8","pagerankCuda","1024","256"
"min-NvgraphEx","6","10","5.159","24","2.9802e-8","pagerankCuda","1024","512"
"min-NvgraphEx","6","10","5.16","24","2.9802e-8","pagerankCuda","1024","1024"
"min-NvgraphEx","6","10","5.157","24","2.9802e-8","pagerankCuda","2048","32"
"min-NvgraphEx","6","10","5.163","24","2.9802e-8","pagerankCuda","2048","64"
"min-NvgraphEx","6","10","5.155","24","2.9802e-8","pagerankCuda","2048","128"
"min-NvgraphEx","6","10","5.158","24","2.9802e-8","pagerankCuda","2048","256"
"min-NvgraphEx","6","10","5.163","24","2.9802e-8","pagerankCuda","2048","512"
"min-NvgraphEx","6","10","5.152","24","2.9802e-8","pagerankCuda","2048","1024"
"min-NvgraphEx","6","10","5.151","24","2.9802e-8","pagerankCuda","4096","32"
"min-NvgraphEx","6","10","5.161","24","2.9802e-8","pagerankCuda","4096","64"
"min-NvgraphEx","6","10","5.161","24","2.9802e-8","pagerankCuda","4096","128"
"min-NvgraphEx","6","10","5.167","24","2.9802e-8","pagerankCuda","4096","256"
"min-NvgraphEx","6","10","5.158","24","2.9802e-8","pagerankCuda","4096","512"
"min-NvgraphEx","6","10","5.157","24","2.9802e-8","pagerankCuda","4096","1024"
"min-NvgraphEx","6","10","5.152","24","2.9802e-8","pagerankCuda","8192","32"
"min-NvgraphEx","6","10","5.171","24","2.9802e-8","pagerankCuda","8192","64"
"min-NvgraphEx","6","10","5.168","24","2.9802e-8","pagerankCuda","8192","128"
"min-NvgraphEx","6","10","5.162","24","2.9802e-8","pagerankCuda","8192","256"
"min-NvgraphEx","6","10","5.164","24","2.9802e-8","pagerankCuda","8192","512"
"min-NvgraphEx","6","10","5.157","24","2.9802e-8","pagerankCuda","8192","1024"
"min-NvgraphEx","6","10","5.155","24","2.9802e-8","pagerankCuda","16384","32"
"min-NvgraphEx","6","10","5.156","24","2.9802e-8","pagerankCuda","16384","64"
"min-NvgraphEx","6","10","5.165","24","2.9802e-8","pagerankCuda","16384","128"
"min-NvgraphEx","6","10","5.171","24","2.9802e-8","pagerankCuda","16384","256"
"min-NvgraphEx","6","10","5.165","24","2.9802e-8","pagerankCuda","16384","512"
"min-NvgraphEx","6","10","5.163","24","2.9802e-8","pagerankCuda","16384","1024"
"min-NvgraphEx","6","10","5.16","24","2.9802e-8","pagerankCuda","32768","32"
"min-NvgraphEx","6","10","5.157","24","2.9802e-8","pagerankCuda","32768","64"
"min-NvgraphEx","6","10","5.16","24","2.9802e-8","pagerankCuda","32768","128"
"min-NvgraphEx","6","10","5.166","24","2.9802e-8","pagerankCuda","32768","256"
"min-NvgraphEx","6","10","5.161","24","2.9802e-8","pagerankCuda","32768","512"
"min-NvgraphEx","6","10","5.159","24","2.9802e-8","pagerankCuda","32768","1024"
"web-Stanford","281903","2312497","11.069","0","0","pagerankNvgraph","0","0"
"web-Stanford","281903","2312497","68.808","63","6.9758e-7","pagerankCuda","1024","32"
"web-Stanford","281903","2312497","53.333","63","7.1483e-7","pagerankCuda","1024","64"
"web-Stanford","281903","2312497","64.564","63","6.9899e-7","pagerankCuda","1024","128"
"web-Stanford","281903","2312497","116.15","63","6.8456e-7","pagerankCuda","1024","256"
"web-Stanford","281903","2312497","221.992","63","6.8647e-7","pagerankCuda","1024","512"
"web-Stanford","281903","2312497","340.901","63","6.8567e-7","pagerankCuda","1024","1024"
"web-Stanford","281903","2312497","60.731","63","6.9758e-7","pagerankCuda","2048","32"
"web-Stanford","281903","2312497","48.772","63","7.1483e-7","pagerankCuda","2048","64"
"web-Stanford","281903","2312497","64.356","63","6.9899e-7","pagerankCuda","2048","128"
"web-Stanford","281903","2312497","105.12","63","6.8456e-7","pagerankCuda","2048","256"
"web-Stanford","281903","2312497","207.84","63","6.8647e-7","pagerankCuda","2048","512"
"web-Stanford","281903","2312497","318.475","63","6.8567e-7","pagerankCuda","2048","1024"
"web-Stanford","281903","2312497","56.098","63","6.9758e-7","pagerankCuda","4096","32"
"web-Stanford","281903","2312497","45.39","63","7.1483e-7","pagerankCuda","4096","64"
"web-Stanford","281903","2312497","59.467","63","6.9899e-7","pagerankCuda","4096","128"
"web-Stanford","281903","2312497","99.964","63","6.8456e-7","pagerankCuda","4096","256"
"web-Stanford","281903","2312497","207.365","63","6.8647e-7","pagerankCuda","4096","512"
"web-Stanford","281903","2312497","317.615","63","6.8567e-7","pagerankCuda","4096","1024"
"web-Stanford","281903","2312497","63.46","63","6.9758e-7","pagerankCuda","8192","32"
"web-Stanford","281903","2312497","47.267","63","7.1483e-7","pagerankCuda","8192","64"
"web-Stanford","281903","2312497","57.641","63","6.9899e-7","pagerankCuda","8192","128"
"web-Stanford","281903","2312497","99.746","63","6.8456e-7","pagerankCuda","8192","256"
"web-Stanford","281903","2312497","205.745","63","6.8647e-7","pagerankCuda","8192","512"
"web-Stanford","281903","2312497","316.549","63","6.8567e-7","pagerankCuda","8192","1024"
"web-Stanford","281903","2312497","65.124","63","6.9758e-7","pagerankCuda","16384","32"
"web-Stanford","281903","2312497","49.15","63","7.1483e-7","pagerankCuda","16384","64"
"web-Stanford","281903","2312497","57.838","63","6.9899e-7","pagerankCuda","16384","128"
"web-Stanford","281903","2312497","100.002","63","6.8456e-7","pagerankCuda","16384","256"
"web-Stanford","281903","2312497","206.259","63","6.8647e-7","pagerankCuda","16384","512"
"web-Stanford","281903","2312497","315.61","63","6.8567e-7","pagerankCuda","16384","1024"
"web-Stanford","281903","2312497","66.823","63","6.9758e-7","pagerankCuda","32768","32"
"web-Stanford","281903","2312497","50.947","63","7.1483e-7","pagerankCuda","32768","64"
"web-Stanford","281903","2312497","60.096","63","6.9899e-7","pagerankCuda","32768","128"
"web-Stanford","281903","2312497","98.912","63","6.8456e-7","pagerankCuda","32768","256"
"web-Stanford","281903","2312497","207.598","63","6.8647e-7","pagerankCuda","32768","512"
"web-Stanford","281903","2312497","317.933","63","6.8567e-7","pagerankCuda","32768","1024"
"web-BerkStan","685230","7600595","16.575","0","0","pagerankNvgraph","0","0"
"web-BerkStan","685230","7600595","169.104","64","0.0000011427","pagerankCuda","1024","32"
"web-BerkStan","685230","7600595","119.569","64","9.6263e-7","pagerankCuda","1024","64"
"web-BerkStan","685230","7600595","157.944","64","9.7441e-7","pagerankCuda","1024","128"
"web-BerkStan","685230","7600595","289.45","64","9.5907e-7","pagerankCuda","1024","256"
"web-BerkStan","685230","7600595","543.798","64","9.5137e-7","pagerankCuda","1024","512"
"web-BerkStan","685230","7600595","822.68","64","9.5075e-7","pagerankCuda","1024","1024"
"web-BerkStan","685230","7600595","157.249","64","0.0000011427","pagerankCuda","2048","32"
"web-BerkStan","685230","7600595","119.66","64","9.6263e-7","pagerankCuda","2048","64"
"web-BerkStan","685230","7600595","155.295","64","9.7441e-7","pagerankCuda","2048","128"
"web-BerkStan","685230","7600595","253.909","64","9.5907e-7","pagerankCuda","2048","256"
"web-BerkStan","685230","7600595","508.147","64","9.5137e-7","pagerankCuda","2048","512"
"web-BerkStan","685230","7600595","766.856","64","9.5075e-7","pagerankCuda","2048","1024"
